,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL250919P00005000,2025-08-04 19:32:42+00:00,5.0,0.01,0.0,0.0,0.0,0.0,1.0,3324,0.500005,False,REGULAR,USD
1,AAPL250919P00010000,2025-09-12 13:45:05+00:00,10.0,0.01,0.0,0.02,0.0,0.0,1.0,16,7.87500015625,False,REGULAR,USD
2,AAPL250919P00015000,2025-09-03 14:12:07+00:00,15.0,0.01,0.0,0.01,0.0,0.0,2.0,58,6.500001875000001,False,REGULAR,USD
3,AAPL250919P00020000,2025-09-08 17:07:28+00:00,20.0,0.01,0.0,0.01,0.0,0.0,7.0,132,5.7500028125,False,REGULAR,USD
4,AAPL250919P00025000,2025-08-20 13:30:01+00:00,25.0,0.01,0.0,0.01,0.0,0.0,1.0,28,5.250003437499999,False,REGULAR,USD
5,AAPL250919P00030000,2025-08-11 13:30:07+00:00,30.0,0.01,0.0,0.0,0.0,0.0,,11,0.500005,False,REGULAR,USD
6,AAPL250919P00035000,2025-06-24 16:02:05+00:00,35.0,0.01,0.0,0.21,0.0,0.0,2.0,39,5.7812527734375,False,REGULAR,USD
7,AAPL250919P00040000,2025-06-24 16:37:45+00:00,40.0,0.01,0.0,0.16,0.0,0.0,3.0,124,5.218753476562499,False,REGULAR,USD
8,AAPL250919P00045000,2025-06-25 16:15:54+00:00,45.0,0.01,0.0,0.12,0.0,0.0,50.0,751,4.73437908203125,False,REGULAR,USD
9,AAPL250919P00050000,2025-07-10 19:28:22+00:00,50.0,0.01,0.0,0.12,0.0,0.0,2.0,1024,4.437504453124999,False,REGULAR,USD
10,AAPL250919P00055000,2025-07-29 16:41:38+00:00,55.0,0.01,0.0,0.0,0.0,0.0,1.0,794,0.500005,False,REGULAR,USD
11,AAPL250919P00060000,2025-08-29 15:57:40+00:00,60.0,0.01,0.0,0.01,0.0,0.0,3.0,2471,3.1250021875,False,REGULAR,USD
12,AAPL250919P00065000,2025-08-27 13:31:39+00:00,65.0,0.01,0.0,0.01,0.0,0.0,1.0,287,3.0000025,False,REGULAR,USD
