,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL251003C00145000,2025-08-26 16:21:38+00:00,145.0,83.19,89.0,90.15,0.0,0.0,,10,1.0747116577148441,True,REGULAR,USD
1,AAPL251003C00150000,2025-08-25 17:55:48+00:00,150.0,79.24,84.05,85.4,0.0,0.0,,1,1.0551805053710939,True,REGULAR,USD
2,AAPL251003C00170000,2025-09-05 17:49:50+00:00,170.0,69.56,64.2,64.9,0.0,0.0,6.0,3,0.75195560546875,True,REGULAR,USD
3,AAPL251003C00175000,2025-09-10 16:06:00+00:00,175.0,52.8,59.25,59.95,0.0,0.0,3.0,4,0.7065459033203125,True,REGULAR,USD
4,AAPL251003C00180000,2025-09-11 18:07:35+00:00,180.0,50.55,54.3,54.9,0.0,0.0,2.0,4,0.6489292919921875,True,REGULAR,USD
5,AAPL251003C00185000,2025-09-11 19:50:00+00:00,185.0,49.67,48.45,50.25,3.8199997,8.331515,1.0,7,0.5273484765625001,True,REGULAR,USD
6,AAPL251003C00190000,2025-09-11 17:38:53+00:00,190.0,40.27,44.25,45.25,0.0,0.0,4.0,8,0.5644574804687501,True,REGULAR,USD
7,AAPL251003C00195000,2025-09-12 15:04:16+00:00,195.0,39.74,39.6,39.9,6.640003,20.060434,1.0,9,0.5070850073242188,True,REGULAR,USD
8,AAPL251003C00200000,2025-09-12 19:27:37+00:00,200.0,34.75,34.6,35.1,5.1499996,17.398647,5.0,35,0.4975636181640626,True,REGULAR,USD
9,AAPL251003C00205000,2025-09-12 19:35:09+00:00,205.0,29.51,29.75,30.05,4.1100006,16.181105,5.0,205,0.43140217041015627,True,REGULAR,USD
10,AAPL251003C00210000,2025-09-12 16:37:57+00:00,210.0,24.6,24.9,25.2,3.3999996,16.037733,27.0,256,0.38672488281249995,True,REGULAR,USD
11,AAPL251003C00215000,2025-09-12 17:51:22+00:00,215.0,19.85,20.1,20.4,3.1800003,19.076187,78.0,176,0.34204759521484374,True,REGULAR,USD
12,AAPL251003C00220000,2025-09-12 19:50:54+00:00,220.0,15.4,15.4,15.8,3.25,26.748974,178.0,588,0.30542686767578126,True,REGULAR,USD
13,AAPL251003C00225000,2025-09-12 19:43:17+00:00,225.0,11.38,11.35,11.45,2.7799997,32.325577,597.0,1497,0.2718578674316406,True,REGULAR,USD
14,AAPL251003C00230000,2025-09-12 19:59:53+00:00,230.0,7.75,7.65,7.85,2.35,43.518517,5032.0,4812,0.25757578369140627,True,REGULAR,USD
15,AAPL251003C00235000,2025-09-12 19:59:29+00:00,235.0,4.82,4.75,4.9,1.7700002,58.03279,4950.0,14789,0.24439232177734377,False,REGULAR,USD
16,AAPL251003C00240000,2025-09-12 19:59:57+00:00,240.0,2.73,2.64,2.74,1.14,71.69811,4483.0,4863,0.2337723107910156,False,REGULAR,USD
17,AAPL251003C00245000,2025-09-12 19:59:54+00:00,245.0,1.44,1.42,1.45,0.64000005,80.00001,3035.0,5489,0.23169713623046873,False,REGULAR,USD
18,AAPL251003C00250000,2025-09-12 19:59:25+00:00,250.0,0.73,0.73,0.75,0.3,69.76745,4843.0,6239,0.2348709326171875,False,REGULAR,USD
19,AAPL251003C00255000,2025-09-12 19:59:53+00:00,255.0,0.39,0.38,0.4,0.13999999,55.999992,1154.0,3057,0.24268335449218748,False,REGULAR,USD
20,AAPL251003C00260000,2025-09-12 19:43:21+00:00,260.0,0.21,0.21,0.23,0.049999997,31.25,967.0,5184,0.25440198730468755,False,REGULAR,USD
21,AAPL251003C00265000,2025-09-12 17:36:28+00:00,265.0,0.12,0.12,0.14,0.009999998,9.090907,306.0,984,0.26758544921875,False,REGULAR,USD
22,AAPL251003C00270000,2025-09-12 19:05:04+00:00,270.0,0.09,0.07,0.09,0.020000003,28.571432,33.0,1390,0.282233740234375,False,REGULAR,USD
23,AAPL251003C00275000,2025-09-12 16:59:47+00:00,275.0,0.06,0.05,0.06,0.009999998,19.999996,105.0,294,0.295905478515625,False,REGULAR,USD
24,AAPL251003C00280000,2025-09-12 19:01:31+00:00,280.0,0.05,0.03,0.05,0.010000002,25.000006,23.0,314,0.317389638671875,False,REGULAR,USD
25,AAPL251003C00285000,2025-09-12 19:51:10+00:00,285.0,0.04,0.02,0.04,0.01,33.333336,2.0,72,0.335944140625,False,REGULAR,USD
26,AAPL251003C00290000,2025-09-12 15:49:31+00:00,290.0,0.02,0.01,0.03,-0.01,-33.333336,102.0,1424,0.34961587890624996,False,REGULAR,USD
27,AAPL251003C00295000,2025-09-12 16:29:16+00:00,295.0,0.02,0.0,0.03,-0.01,-33.333336,1.0,101,0.37500625,False,REGULAR,USD
28,AAPL251003C00300000,2025-09-10 13:30:04+00:00,300.0,0.04,0.0,0.02,0.0,0.0,5.0,119,0.38281867187499996,False,REGULAR,USD
29,AAPL251003C00305000,2025-09-03 13:38:32+00:00,305.0,0.01,0.0,0.02,0.0,0.0,1.0,2,0.4062559375,False,REGULAR,USD
30,AAPL251003C00315000,2025-09-10 17:16:43+00:00,315.0,0.01,0.0,0.02,0.0,0.0,3.0,13,0.44922425781249997,False,REGULAR,USD
31,AAPL251003C00325000,2025-09-03 15:29:36+00:00,325.0,0.01,0.0,0.05,0.0,0.0,4.0,10,0.500005,False,REGULAR,USD
