,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL251003P00110000,2025-09-09 14:43:19+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1.0,51,0.9687503125,False,REGULAR,USD
1,AAPL251003P00120000,2025-09-10 14:56:58+00:00,120.0,0.01,0.0,0.01,0.0,0.0,29.0,134,0.87500125,False,REGULAR,USD
2,AAPL251003P00125000,2025-09-02 16:48:37+00:00,125.0,0.02,0.0,0.01,0.0,0.0,,2,0.8125018749999999,False,REGULAR,USD
3,AAPL251003P00145000,2025-09-03 16:55:04+00:00,145.0,0.02,0.0,0.01,0.0,0.0,,16,0.64062859375,False,REGULAR,USD
4,AAPL251003P00150000,2025-09-10 19:47:49+00:00,150.0,0.02,0.01,0.03,0.0,0.0,1.0,18,0.6718782812500002,False,REGULAR,USD
5,AAPL251003P00155000,2025-09-09 14:21:43+00:00,155.0,0.02,0.01,0.03,0.0,0.0,5.0,10,0.6250037500000001,False,REGULAR,USD
6,AAPL251003P00160000,2025-09-12 19:50:16+00:00,160.0,0.03,0.02,0.04,0.0,0.0,67.0,68,0.6054726953125001,False,REGULAR,USD
7,AAPL251003P00165000,2025-09-11 16:24:57+00:00,165.0,0.03,0.02,0.04,0.0,0.0,140.0,170,0.5585981640625001,False,REGULAR,USD
8,AAPL251003P00170000,2025-09-12 13:51:02+00:00,170.0,0.04,0.03,0.05,0.0,0.0,1.0,305,0.5312546875,False,REGULAR,USD
9,AAPL251003P00175000,2025-09-12 18:33:10+00:00,175.0,0.05,0.04,0.06,0.0,0.0,54.0,81,0.500005,False,REGULAR,USD
10,AAPL251003P00180000,2025-09-12 19:56:38+00:00,180.0,0.07,0.07,0.08,-0.020000003,-22.222225,14.0,697,0.48340360351562506,False,REGULAR,USD
11,AAPL251003P00185000,2025-09-12 19:18:55+00:00,185.0,0.07,0.07,0.1,-0.030000001,-30.000002,13.0,184,0.45117736328125,False,REGULAR,USD
12,AAPL251003P00190000,2025-09-12 19:54:05+00:00,190.0,0.11,0.1,0.12,-0.030000001,-21.428572,16.0,572,0.41699801757812494,False,REGULAR,USD
13,AAPL251003P00195000,2025-09-12 19:18:55+00:00,195.0,0.15,0.14,0.16,-0.03999999,-21.052628,41.0,520,0.387701435546875,False,REGULAR,USD
14,AAPL251003P00200000,2025-09-12 19:28:08+00:00,200.0,0.21,0.19,0.21,-0.040000007,-16.000002,195.0,704,0.35742830078125,False,REGULAR,USD
15,AAPL251003P00205000,2025-09-12 19:18:55+00:00,205.0,0.28,0.27,0.29,-0.099999994,-26.315788,145.0,603,0.3286199951171874,False,REGULAR,USD
16,AAPL251003P00210000,2025-09-12 19:54:21+00:00,210.0,0.39,0.39,0.41,-0.16000003,-29.090914,575.0,1837,0.299811689453125,False,REGULAR,USD
17,AAPL251003P00215000,2025-09-12 19:48:56+00:00,215.0,0.61,0.6,0.62,-0.26,-29.885057,306.0,1058,0.2739330419921875,False,REGULAR,USD
18,AAPL251003P00220000,2025-09-12 19:59:42+00:00,220.0,1.01,0.99,1.03,-0.47000003,-31.75676,462.0,1384,0.25354750366210943,False,REGULAR,USD
19,AAPL251003P00225000,2025-09-12 19:58:15+00:00,225.0,1.73,1.75,1.84,-0.8599999,-33.20463,810.0,1722,0.2406081799316406,False,REGULAR,USD
20,AAPL251003P00230000,2025-09-12 19:59:44+00:00,230.0,3.08,3.05,3.1,-1.3200002,-30.000004,969.0,1036,0.22461712890624996,False,REGULAR,USD
21,AAPL251003P00235000,2025-09-12 19:58:15+00:00,235.0,5.07,5.1,5.25,-2.1299996,-29.583328,585.0,1709,0.21790332885742186,True,REGULAR,USD
22,AAPL251003P00240000,2025-09-12 19:23:25+00:00,240.0,8.3,8.05,8.2,-2.5999994,-23.853207,150.0,430,0.20996883789062498,True,REGULAR,USD
23,AAPL251003P00245000,2025-09-12 17:03:17+00:00,245.0,12.2,11.85,12.0,-2.6500006,-17.845121,83.0,1244,0.20655090332031245,True,REGULAR,USD
24,AAPL251003P00250000,2025-09-11 15:57:37+00:00,250.0,16.3,15.85,16.65,-5.5,-25.229359,11.0,21,0.23218541259765624,True,REGULAR,USD
25,AAPL251003P00255000,2025-09-10 13:32:54+00:00,255.0,24.5,20.65,21.9,0.0,0.0,4.0,0,0.3043282458496094,True,REGULAR,USD
26,AAPL251003P00260000,2025-09-08 17:19:09+00:00,260.0,23.07,25.6,26.25,0.0,0.0,4.0,10,0.27149166015625,True,REGULAR,USD
27,AAPL251003P00265000,2025-09-04 15:37:33+00:00,265.0,28.0,30.55,31.85,0.0,0.0,2.0,0,0.39111937011718745,True,REGULAR,USD
28,AAPL251003P00280000,2025-09-10 19:50:00+00:00,280.0,53.2,45.4,46.25,0.0,0.0,1.0,0,0.41602146484374997,True,REGULAR,USD
