Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,RSI,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,ATR,ADX,CCI,Williams_R,OBV,Volume_MA,VWAP,ROC,MFI,SAR,Tenkan,Kijun,Momentum,Distance_200MA,Volatility
2024-10-18 00:00:00-04:00,0.9800000190734863,1.184999942779541,0.9760000109672546,1.1100000143051147,11659800,0.0,0.0,,,,,1.1100000143051147,1.1100000143051147,1.1100000143051147,,0.0,0.0,0.0,,,,,,,,,,,,0.0,,1.0903333226839702,,,,,,,,
2024-10-21 00:00:00-04:00,1.1699999570846558,1.2999999523162842,1.090000033378601,1.2799999713897705,13311300,0.0,0.0,,,,,1.1409090974114158,1.1261904864084153,1.1166666792888267,,0.01356125013780729,0.002712250027561458,0.010849000110245833,,,,,,,,,,,,13311300.0,,1.1612313949089499,,,1.1100000143051147,,,,,
2024-10-22 00:00:00-04:00,1.2699999809265137,1.3300000429153442,1.149999976158142,1.2300000190734863,7908100,0.0,0.0,,,,,1.1571074468045195,1.1360771085669936,1.1211111239862643,,0.02004301686854748,0.006178403395758663,0.013864613472788818,,,,,,,,,,,,5403200.0,,1.1793750776367502,,,1.2799999713897705,,,,,
2024-10-23 00:00:00-04:00,1.190000057220459,1.3799999952316284,1.149999976158142,1.2100000381469727,10591500,0.0,0.0,,,,,1.1667242815940564,1.1431173875746106,1.1245969637572726,,0.023297473613667297,0.00960221743934039,0.013695256174326906,,,,,,,,,,,,-5188300.0,,1.1957704634685826,,,1.2300000190734863,,,,,
2024-10-24 00:00:00-04:00,1.2999999523162842,1.3300000429153442,1.1799999475479126,1.2000000476837158,6136400,0.0,0.0,,,,,1.1727744208830853,1.1485347837754778,1.1275539474406626,,0.02478404335008344,0.012638582621489,0.01214546072859444,,,,,,,,,,,,-11324700.0,,1.2008293268033288,,,1.2100000381469727,,,,,
2024-10-25 00:00:00-04:00,1.2300000190734863,1.309999942779541,1.2000000476837158,1.2200000286102295,7768800,0.0,0.0,,,,,1.1813608950152932,1.1553409975692637,1.1311792839571162,,0.027261735572466472,0.015563213211684496,0.011698522360781977,,,,,,,,,,,,-3555900.0,,1.2065844465543565,,,1.2000000476837158,,,,,
2024-10-28 00:00:00-04:00,1.2699999809265137,1.5399999618530273,1.25,1.5,15633300,0.0,0.0,,,,,1.2392952777397852,1.188165664467429,1.145642841448994,,0.05122845243223573,0.022696261055794743,0.028532191376440984,,,,,,,,,,,,12077400.0,,1.2544239266869164,,,1.2200000286102295,,,,,
2024-10-29 00:00:00-04:00,1.600000023841858,1.7300000190734863,1.399999976158142,1.4600000381469727,18426200,0.0,0.0,,,,,1.2794234159956375,1.2140546524369094,1.1579705746528364,,0.06623111452574815,0.031403231749785425,0.03482788277596272,,,,,,,,,,,,-6348800.0,,1.309958435718376,,,1.5,,,,,
2024-10-30 00:00:00-04:00,1.3700000047683716,1.5049999952316284,1.3200000524520874,1.409999966621399,9146500,0.0,0.0,,,,,1.303164607018503,1.2327161109306704,1.167854080220231,,0.0732419567334317,0.03977097674651468,0.03347097998691702,,,,,,,,,,,,-15495300.0,,1.3192073600077607,,,1.4600000381469727,1.3530000150203705,,,,
2024-10-31 00:00:00-04:00,1.409999966621399,1.4299999475479126,1.2400000095367432,1.3200000524520874,5494600,0.0,0.0,1.294000017642975,,,,1.3062255970973364,1.2410288672660434,1.1738205889352058,,0.07072063531872641,0.04596090846095703,0.02475972685776938,,,,,,,,,,,,-20989900.0,,1.3197664023702842,,,1.409999966621399,1.4100000262260437,,,,
2024-11-01 00:00:00-04:00,1.2999999523162842,1.3489999771118164,1.2200000286102295,1.2300000190734863,4703500,0.0,0.0,1.306000018119812,,,,1.292366401093,1.2399785007715143,1.1760237038425894,,0.060759818039753055,0.04892069037671624,0.011839127663036818,,,,,,,,,,,,-25693400.0,,1.317497740144792,,,1.3200000524520874,1.4399999976158142,,0.12000000476837158,,
2024-11-04 00:00:00-05:00,1.2100000381469727,1.2200000286102295,1.1200000047683716,1.1299999952316284,5250100,0.0,0.0,1.2910000205039978,,,,1.2628452363909324,1.2295043573867632,1.1742188525245125,,0.04428612946012711,0.047993778193398416,-0.0037076487332713057,,,,,,,,,,,,-30943500.0,,1.3102204976982315,,,1.2300000190734863,1.425000011920929,,-0.1499999761581421,,
2024-11-05 00:00:00-05:00,1.1100000143051147,1.159999966621399,1.059999942779541,1.1200000047683716,4917400,0.0,0.0,1.2800000190734864,,,,1.2368733760959212,1.2190753714231068,1.1720926232007423,,0.030076988120500747,0.04441042017881888,-0.014333432058318135,,,,,,,,,,,,-35860900.0,,1.302215594060406,0.9009000301245093,,1.1299999952316284,1.3949999809265137,,-0.11000001430511475,,
2024-11-06 00:00:00-05:00,1.1799999475479126,1.25,1.1299999952316284,1.2000000476837158,6098200,0.0,0.0,1.2790000200271607,,,,1.2301691345664292,1.2172586739241171,1.173187032003996,54.45544776490226,0.024983482082752584,0.04052503255960563,-0.015541550476853044,,,,,,29.708227361836,,0.18449998327663966,,,-70.29177263816399,-29762700.0,,1.2969892407471466,-6.249994179233778,70.20210119417396,1.1200000047683716,1.3949999809265137,,-0.009999990463256836,,
