Option_Type,Actual_Delta,Predicted_Delta,Absolute_Error,Squared_Error
call,0.64178,0.6857724189758301,0.04399241897583006,0.0019353329273449728
call,0.73397,0.7782026529312134,0.04423265293121337,0.0019565275853331786
call,0.88551,0.9595932960510254,0.07408329605102537,0.005488334753783871
call,0.19983,0.30910608172416687,0.10927608172416686,0.011941262036986795
call,0.4173,0.5343981981277466,0.11709819812774658,0.013711988004764992
call,0.99081,0.9999978542327881,0.009187854232788117,8.441666540296252e-05
call,0.06413,0.12879183888435364,0.06466183888435363,0.004181153407906107
call,0.64252,0.574343204498291,0.06817679550170896,0.004648075444881844
call,0.50924,0.4775639772415161,0.03167602275848391,0.0010033704177959907
call,0.54706,0.4937340021133423,0.053325997886657706,0.002843662050607822
call,0.416,0.470679372549057,0.054679372549057026,0.002989833782358571
call,0.45975,0.4772302210330963,0.01748022103309632,0.000305558127365903
call,0.15799,0.17341141402721405,0.015421414027214059,0.00023782001059875454
call,0.97859,0.9992720484733582,0.020682048473358194,0.00042774712905433804
call,0.41756,0.5321629643440247,0.11460296434402467,0.01313383943643779
call,0.5496,0.5199965238571167,0.029603476142883278,0.0008763657997422594
call,0.49052,0.5401580333709717,0.04963803337097167,0.002463934356937697
call,0.6443,0.5879656076431274,0.05633439235687254,0.0031735637622180594
call,0.40348,0.46647214889526367,0.06299214889526367,0.003968010822443068
call,0.55454,0.5873493552207947,0.032809355220794645,0.0010764537900042849
call,0.86406,0.9389068484306335,0.0748468484306335,0.005602050719998223
call,0.99715,1.0,0.002850000000000019,8.122500000000109e-06
call,0.84165,0.9292367696762085,0.08758676967620849,0.0076714422223131944
call,0.97316,0.9980493783950806,0.02488937839508054,0.0006194811568935021
call,0.86976,0.9055082201957703,0.035748220195770286,0.0012779352471652785
call,0.0024,0.019372573122382164,0.016972573122382165,0.00028806823839460944
call,0.13506,0.08341331779956818,0.05164668220043184,0.002667379782312403
call,0.63224,0.6682088375091553,0.03596883750915525,0.0012937572717600136
call,0.97366,0.9998348951339722,0.026174895133972198,0.0006851251352744415
call,0.45707,0.5371349453926086,0.08006494539260867,0.006410395480721407
call,0.97863,0.9998384714126587,0.02120847141265869,0.00044979925966156094
call,0.12666,0.06359196454286575,0.06306803545713424,0.003977577096422342
call,0.44436,0.5241532325744629,0.07979323257446291,0.006366959964682329
call,0.00921,0.02996828779578209,0.02075828779578209,0.00043090651221251567
call,0.72596,0.6509354114532471,0.07502458854675298,0.005628688886609578
call,0.84521,0.8209559917449951,0.0242540082550049,0.0005882569164338458
call,0.90744,0.9505952000617981,0.04315520006179807,0.0018623712923738162
call,0.96635,0.9951030015945435,0.028753001594543415,0.0008267351006958162
call,0.08937,0.05731038376688957,0.03205961623311043,0.001027818993014318
call,0.5083,0.5655015707015991,0.05720157070159915,0.003272019690730046
call,0.34825,0.5301392674446106,0.1818892674446106,0.033083705611537076
call,0.8673,0.9479385614395142,0.0806385614395142,0.006502577591034306
call,0.2623,0.42638611793518066,0.1640861179351807,0.026924254099038026
call,0.41379,0.4746479094028473,0.0608579094028473,0.00370368513688517
call,0.96554,0.9959653615951538,0.030425361595153855,0.0009257026281958631
call,0.85018,0.9112833142280579,0.061103314228057815,0.0037336150096527725
call,0.92684,0.9579401612281799,0.031100161228179934,0.0009672200284187865
put,-0.46114,2.809596111319479e-08,0.4611400280959611,0.2126501255123438
put,-0.04834,3.2130537119812175e-10,0.04834000032130537,0.0023367556310638035
put,-0.0201,6.800055984967912e-08,0.02010006800055985,0.00040401273362713
put,-0.58617,5.573946509684902e-06,0.5861755739465097,0.34360180349152003
put,-0.37907,2.900026530028299e-08,0.3790700290002653,0.14369408688626198
put,-0.01214,1.3399972885963507e-05,0.012153399972885963,0.00014770513090094453
put,-0.43578,3.796589589910582e-05,0.4358179658958991,0.18993729939763906
put,-0.00099,3.225837564057616e-29,0.00099,9.801e-07
put,-0.0897,1.707471000145233e-07,0.08970017074710002,0.008046120632058897
put,-0.19974,2.7553896870813332e-05,0.19976755389687081,0.03990707558993919
put,-0.00511,7.063296128539953e-12,0.005110000007063296,2.6112100072186886e-05
put,-0.00659,5.126429098830544e-18,0.006590000000000006,4.342810000000007e-05
put,-0.19561,2.6547379547992023e-06,0.1956126547379548,0.038264310693630316
put,-0.17116,1.2107493896351684e-09,0.1711600012107494,0.029295746014463733
put,-0.22361,3.338236638228409e-06,0.22361333823663823,0.050002925037333175
put,-0.15404,1.0965351066261064e-05,0.15405096535106627,0.02373169992559542
put,-0.75751,1.5631645311486864e-08,0.7575100156316453,0.5738214237822555
put,-0.01261,1.1059343663077925e-08,0.012610011059343663,0.00015901237891676948
put,-0.16257,1.1771052413678262e-05,0.16258177105241367,0.026432832278539455
put,-0.00073,6.624381599307888e-33,0.00073,5.328999999999999e-07
put,-0.54313,3.6529254430206493e-06,0.543133652925443,0.2949941649401356
put,-0.04616,1.800159566300863e-06,0.0461618001595663,0.0021309117939717352
put,-0.09012,2.449861767672701e-06,0.09012244986176768,0.00812205596908683
put,-0.01417,1.1899019227712415e-05,0.014181899019227713,0.00020112625979157195
put,-0.10082,8.365635039808694e-06,0.10082836563503982,0.010166359316633278
put,-0.54025,4.4404965815481034e-12,0.5402500000044405,0.2918700625047979
put,-0.00392,6.8752460780840294e-18,0.003920000000000007,1.5366400000000053e-05
put,-0.02333,7.532648116370666e-12,0.023330000007532648,0.0005442889003514734
put,-0.19267,1.660660231550537e-08,0.19267001660660232,0.03712173529918841
put,-0.06154,7.399873993563233e-06,0.06154739987399356,0.0037880824312492628
put,-0.43008,3.298976935184328e-06,0.4300832989769352,0.18497164405888383
put,-0.61877,1.2299691043438088e-08,0.6187700122996911,0.38287632812135985
put,-0.1144,9.071395652426872e-06,0.11440907139565243,0.013089435617615495
put,-0.13743,8.145776320134246e-08,0.1374300814577632,0.018887027289487428
put,-0.0226,2.396227204762188e-19,0.0226,0.00051076
