Actual_Delta,Predicted_Delta,Absolute_Error
0.98511,0.9996518,0.014541789665222127
0.97296,0.99944824,0.026488239803314162
0.95595,0.99888986,0.04293986349105838
0.97615,0.9932922,0.017142212486267128
0.96464,0.99027705,0.025637051925659127
0.97124,0.96565795,0.005582050552368156
0.93143,0.97334176,0.04191176301956179
0.89875,0.95412827,0.055378265380859326
0.87353,0.89272267,0.019192666263580294
0.83479,0.748589,0.08620102075576785
0.74453,0.6356758,0.10885421207427981
0.61417,0.5549226,0.05924741928100585
0.46838,0.42255086,0.045829142932891864
0.32239,0.36658683,0.04419683419227599
0.20084,0.29277566,0.09193566075325013
0.0977,0.2060954,0.1083953974723816
0.0456,0.16335532,0.11775532069206238
0.02572,0.17115131,0.1454313102054596
0.01491,0.14964555,0.13473555203914642
0.97149,0.9994531,0.027963127384185826
0.94347,0.99745506,0.053985060482025116
0.96543,0.9850515,0.019621512718200673
0.95569,0.9649093,0.00921931510925289
0.94081,0.9172128,0.023597215709686314
0.92432,0.87996006,0.044359939880371124
0.90231,0.83358663,0.06872336679458613
0.87271,0.76609993,0.10661007019042967
0.83265,0.6861243,0.14652567520141602
0.7627,0.63670516,0.12599483985900883
0.68015,0.5782545,0.10189547910690311
0.59398,0.4702418,0.12373818514823909
0.49112,0.4060812,0.08503880035400391
0.38993,0.3524277,0.037502308778762816
0.29667,0.29548252,0.001187483711242665
0.21599,0.25272745,0.03673744894027711
0.15034,0.20350686,0.05316685715675354
0.1,0.1717535,0.07175349593162536
0.06355,0.13476315,0.07121315140724183
0.0386,0.11146837,0.0728683672785759
0.02241,0.080865234,0.05845523413658142
0.01877,0.0898107,0.07104069922447205
0.01079,0.06528463,0.05449463214635849
0.96327,0.99262804,0.029358037929534953
0.9712,0.9760173,0.00481729631423955
0.93864,0.97625536,0.03761535726547238
0.95779,0.90748394,0.050306064643859894
0.92773,0.9078065,0.019923484306335504
0.91438,0.88001835,0.03436164653778073
0.88351,0.85404235,0.02946764875411989
0.86056,0.807789,0.05277097230911254
0.81592,0.7780509,0.037869100494384744
0.7782,0.7071778,0.07102218217849732
0.71722,0.66287065,0.05434935447692868
0.64998,0.61397433,0.03600566719055176
0.58271,0.5151336,0.06757638069152827
0.50374,0.45583412,0.0479058794879913
0.42547,0.4044247,0.02104530283927919
0.35082,0.3467709,0.004049087591171285
0.28222,0.30107707,0.018857067852020237
0.22144,0.24842398,0.026983978686332705
0.16942,0.2197209,0.05030090005874635
0.12638,0.1675222,0.041142206902503975
0.09193,0.15352885,0.0615988542509079
0.06522,0.11279714,0.04757714107513428
0.04514,0.101868406,0.0567284059381485
0.04128,0.092095114,0.05081511429071427
0.01946,0.0578939,0.03843389833807945
