strike,expiration,days_to_expiry,last,bid,ask,mid_price,volume,open_interest,delta,gamma,theta,vega,implied_volatility,moneyness,spread_pct
180.0,2025-09-05,17,51.85,50.6,52.1,51.35,2,84,0.9911,0.001,-0.0377,0.0123,0.488,2.25,2.9211
165.0,2025-08-29,10,67.98,65.8,66.65,66.225,4,9,0.9903,0.0008,-0.0599,0.0104,0.8588,2.0625,1.2835
100.0,2026-01-16,150,132.63,132.5,133.55,133.025,3,2159,0.99,0.0003,-0.0195,0.0394,0.6246,1.25,0.7893
190.0,2025-09-05,17,41.63,40.9,41.85,41.375,1,18,0.9897,0.0014,-0.0374,0.014,0.3905,2.375,2.2961
150.0,2025-09-19,31,81.55,81.4,81.85,81.625,1,3847,0.9896,0.0006,-0.0369,0.0188,0.6636,1.875,0.5513
145.0,2025-08-22,3,86.48,85.5,86.8,86.15,1,8,0.9892,0.0006,-0.1913,0.0069,2.0295,1.8125,1.509
180.0,2025-08-29,10,52.9,51.0,51.45,51.225,4,121,0.9891,0.0011,-0.0547,0.0115,0.6441,2.25,0.8785
150.0,2025-12-19,122,84.0,82.95,83.6,83.275,3,2097,0.9889,0.0006,-0.0228,0.0391,0.3515,1.875,0.7805
135.0,2027-12-17,850,110.14,107.5,110.75,109.125,15,103,0.9889,0.0004,-0.0153,0.103,0.1954,1.6875,2.9782
155.0,2025-09-19,31,77.15,76.4,76.9,76.65,4,344,0.9883,0.0007,-0.0383,0.0208,0.6246,1.9375,0.6523
182.5,2025-08-22,3,48.32,48.15,49.05,48.6,8,2,0.9871,0.0013,-0.1249,0.008,1.0344,2.2812,1.8519
160.0,2025-09-19,31,71.71,71.5,71.9,71.7,3,1899,0.9869,0.0008,-0.0396,0.023,0.5856,2.0,0.5579
190.0,2025-08-22,3,41.18,40.95,41.2,41.075,6,289,0.9867,0.0016,-0.1105,0.0082,0.8588,2.375,0.6086
120.0,2026-05-15,269,115.0,114.05,116.1,115.075,2,26,0.9865,0.0004,-0.0183,0.0686,0.3905,1.5,1.7814
130.0,2026-12-18,486,108.99,108.15,109.1,108.625,6,1416,0.9846,0.0005,-0.017,0.1033,0.2734,1.625,0.8746
175.0,2025-08-22,3,55.82,55.7,56.65,56.175,6,35,0.9833,0.0013,-0.1821,0.01,1.288,2.1875,1.6911
190.0,2025-08-29,10,41.4,40.9,41.65,41.275,2,238,0.9828,0.0019,-0.0644,0.0171,0.5466,2.375,1.8171
125.0,2027-01-15,514,113.93,112.95,114.85,113.9,2,219,0.9827,0.0005,-0.0168,0.1173,0.2929,1.5625,1.6681
135.0,2025-09-26,38,96.66,96.05,97.95,97.0,1,3,0.9807,0.0007,-0.0544,0.0354,0.8588,1.6875,1.9588
185.0,2025-08-22,3,46.79,45.75,46.6,46.175,4,61,0.9807,0.0018,-0.1711,0.0114,1.0539,2.3125,1.8408
195.0,2025-08-22,3,36.5,35.85,36.4,36.125,204,509,0.9805,0.0024,-0.1371,0.0114,0.8002,2.4375,1.5225
160.0,2025-10-17,59,72.35,72.25,72.55,72.4,1,344,0.9804,0.0011,-0.0356,0.0445,0.4685,2.0,0.4144
200.0,2025-08-22,3,31.4,30.8,31.4,31.1,220,9063,0.9798,0.003,-0.1237,0.0118,0.6832,2.5,1.9293
145.0,2026-01-16,150,90.55,88.7,89.25,88.975,7,318,0.9798,0.0008,-0.0257,0.0726,0.3905,1.8125,0.6182
175.0,2025-09-19,31,56.96,56.65,57.0,56.825,1,1800,0.9781,0.0016,-0.0473,0.0357,0.488,2.1875,0.6159
185.0,2025-09-19,31,46.84,46.5,47.15,46.825,89,4850,0.9776,0.002,-0.0434,0.0364,0.3905,2.3125,1.3881
150.0,2026-01-16,150,86.0,83.6,84.45,84.025,2,53883,0.9774,0.001,-0.0266,0.0799,0.371,1.875,1.0116
130.0,2027-01-15,514,109.49,108.55,110.3,109.425,15,364,0.9773,0.0007,-0.018,0.148,0.2929,1.625,1.5993
170.0,2025-09-19,31,62.54,61.55,62.25,61.9,2,1244,0.977,0.0015,-0.0512,0.0372,0.5466,2.125,1.1309
165.0,2025-09-19,31,66.89,66.55,67.25,66.9,2,2828,0.9765,0.0013,-0.0547,0.038,0.6051,2.0625,1.0463
